文字	面区点	水準	Unicode	UTF16
瑁	1-64-80	第2水準	U+7441	0x7441
瑜	1-64-81	第2水準	U+745C	0x745C
瑩	1-64-82	第2水準	U+7469	0x7469
瑰	1-64-83	第2水準	U+7470	0x7470
瑣	1-64-84	第2水準	U+7463	0x7463
瑪	1-64-85	第2水準	U+746A	0x746A
瑶	1-64-86	第2水準	U+7476	0x7476
瑾	1-64-87	第2水準	U+747E	0x747E
璋	1-64-88	第2水準	U+748B	0x748B
璞	1-64-89	第2水準	U+749E	0x749E
璧	1-64-90	第2水準	U+74A7	0x74A7
瓊	1-64-91	第2水準	U+74CA	0x74CA
瓏	1-64-92	第2水準	U+74CF	0x74CF
瓔	1-64-93	第2水準	U+74D4	0x74D4
珱	1-64-94	第2水準	U+73F1	0x73F1
瓠	1-65-01	第2水準	U+74E0	0x74E0
瓣	1-65-02	第2水準	U+74E3	0x74E3
瓧	1-65-03	第2水準	U+74E7	0x74E7
瓩	1-65-04	第2水準	U+74E9	0x74E9
瓮	1-65-05	第2水準	U+74EE	0x74EE
瓲	1-65-06	第2水準	U+74F2	0x74F2
瓰	1-65-07	第2水準	U+74F0	0x74F0
瓱	1-65-08	第2水準	U+74F1	0x74F1
瓸	1-65-09	第2水準	U+74F8	0x74F8
瓷	1-65-10	第2水準	U+74F7	0x74F7
甄	1-65-11	第2水準	U+7504	0x7504
甃	1-65-12	第2水準	U+7503	0x7503
甅	1-65-13	第2水準	U+7505	0x7505
甌	1-65-14	第2水準	U+750C	0x750C
甎	1-65-15	第2水準	U+750E	0x750E
甍	1-65-16	第2水準	U+750D	0x750D
甕	1-65-17	第2水準	U+7515	0x7515
甓	1-65-18	第2水準	U+7513	0x7513
甞	1-65-19	第2水準	U+751E	0x751E
甦	1-65-20	第2水準	U+7526	0x7526
甬	1-65-21	第2水準	U+752C	0x752C
甼	1-65-22	第2水準	U+753C	0x753C
畄	1-65-23	第2水準	U+7544	0x7544
畍	1-65-24	第2水準	U+754D	0x754D
畊	1-65-25	第2水準	U+754A	0x754A
畉	1-65-26	第2水準	U+7549	0x7549
畛	1-65-27	第2水準	U+755B	0x755B
畆	1-65-28	第2水準	U+7546	0x7546
畚	1-65-29	第2水準	U+755A	0x755A
畩	1-65-30	第2水準	U+7569	0x7569
畤	1-65-31	第2水準	U+7564	0x7564
畧	1-65-32	第2水準	U+7567	0x7567
畫	1-65-33	第2水準	U+756B	0x756B
畭	1-65-34	第2水準	U+756D	0x756D
畸	1-65-35	第2水準	U+7578	0x7578
當	1-65-36	第2水準	U+7576	0x7576
疆	1-65-37	第2水準	U+7586	0x7586
疇	1-65-38	第2水準	U+7587	0x7587
畴	1-65-39	第2水準	U+7574	0x7574
疊	1-65-40	第2水準	U+758A	0x758A
疉	1-65-41	第2水準	U+7589	0x7589
疂	1-65-42	第2水準	U+7582	0x7582
疔	1-65-43	第2水準	U+7594	0x7594
疚	1-65-44	第2水準	U+759A	0x759A
疝	1-65-45	第2水準	U+759D	0x759D
疥	1-65-46	第2水準	U+75A5	0x75A5
疣	1-65-47	第2水準	U+75A3	0x75A3
痂	1-65-48	第2水準	U+75C2	0x75C2
疳	1-65-49	第2水準	U+75B3	0x75B3
痃	1-65-50	第2水準	U+75C3	0x75C3
疵	1-65-51	第2水準	U+75B5	0x75B5
疽	1-65-52	第2水準	U+75BD	0x75BD
疸	1-65-53	第2水準	U+75B8	0x75B8
疼	1-65-54	第2水準	U+75BC	0x75BC
疱	1-65-55	第2水準	U+75B1	0x75B1
痍	1-65-56	第2水準	U+75CD	0x75CD
痊	1-65-57	第2水準	U+75CA	0x75CA
痒	1-65-58	第2水準	U+75D2	0x75D2
痙	1-65-59	第2水準	U+75D9	0x75D9
