文字	面区点	水準	Unicode	UTF16
漶	2-79-16	第4水準	U+6F36	0x6F36
漼	2-79-17	第4水準	U+6F3C	0x6F3C
𣽾	2-79-18	第4水準	U+23F7E	0xD84F 0xDF7E
潒	2-79-19	第4水準	U+6F52	0x6F52
潗	2-79-20	第4水準	U+6F57	0x6F57
潚	2-79-21	第4水準	U+6F5A	0x6F5A
潠	2-79-22	第4水準	U+6F60	0x6F60
潨	2-79-23	第4水準	U+6F68	0x6F68
澘	2-79-24	第4水準	U+6F98	0x6F98
潽	2-79-25	第4水準	U+6F7D	0x6F7D
澐	2-79-26	第4水準	U+6F90	0x6F90
澖	2-79-27	第4水準	U+6F96	0x6F96
澾	2-79-28	第4水準	U+6FBE	0x6FBE
澟	2-79-29	第4水準	U+6F9F	0x6F9F
澥	2-79-30	第4水準	U+6FA5	0x6FA5
澯	2-79-31	第4水準	U+6FAF	0x6FAF
㵤	2-79-32	第4水準	U+3D64	0x3D64
澵	2-79-33	第4水準	U+6FB5	0x6FB5
濈	2-79-34	第4水準	U+6FC8	0x6FC8
濉	2-79-35	第4水準	U+6FC9	0x6FC9
濚	2-79-36	第4水準	U+6FDA	0x6FDA
濞	2-79-37	第4水準	U+6FDE	0x6FDE
濩	2-79-38	第4水準	U+6FE9	0x6FE9
𤂖	2-79-39	第4水準	U+24096	0xD850 0xDC96
濼	2-79-40	第4水準	U+6FFC	0x6FFC
瀀	2-79-41	第4水準	U+7000	0x7000
瀇	2-79-42	第4水準	U+7007	0x7007
瀊	2-79-43	第4水準	U+700A	0x700A
瀣	2-79-44	第4水準	U+7023	0x7023
𤄃	2-79-45	第4水準	U+24103	0xD850 0xDD03
瀹	2-79-46	第4水準	U+7039	0x7039
瀺	2-79-47	第4水準	U+703A	0x703A
瀼	2-79-48	第4水準	U+703C	0x703C
灃	2-79-49	第4水準	U+7043	0x7043
灇	2-79-50	第4水準	U+7047	0x7047
灋	2-79-51	第4水準	U+704B	0x704B
㶚	2-79-52	第4水準	U+3D9A	0x3D9A
灔	2-79-53	第4水準	U+7054	0x7054
灥	2-79-54	第4水準	U+7065	0x7065
灩	2-79-55	第4水準	U+7069	0x7069
灬	2-79-56	第4水準	U+706C	0x706C
灮	2-79-57	第4水準	U+706E	0x706E
灶	2-79-58	第4水準	U+7076	0x7076
灾	2-79-59	第4水準	U+707E	0x707E
炁	2-79-60	第4水準	U+7081	0x7081
炆	2-79-61	第4水準	U+7086	0x7086
炕	2-79-62	第4水準	U+7095	0x7095
炗	2-79-63	第4水準	U+7097	0x7097
炻	2-79-64	第4水準	U+70BB	0x70BB
𤇆	2-79-65	第4水準	U+241C6	0xD850 0xDDC6
炟	2-79-66	第4水準	U+709F	0x709F
炱	2-79-67	第4水準	U+70B1	0x70B1
𤇾	2-79-68	第4水準	U+241FE	0xD850 0xDDFE
烬	2-79-69	第4水準	U+70EC	0x70EC
烊	2-79-70	第4水準	U+70CA	0x70CA
烑	2-79-71	第4水準	U+70D1	0x70D1
烓	2-79-72	第4水準	U+70D3	0x70D3
烜	2-79-73	第4水準	U+70DC	0x70DC
焃	2-79-74	第4水準	U+7103	0x7103
焄	2-79-75	第4水準	U+7104	0x7104
焆	2-79-76	第4水準	U+7106	0x7106
焇	2-79-77	第4水準	U+7107	0x7107
焈	2-79-78	第4水準	U+7108	0x7108
焌	2-79-79	第4水準	U+710C	0x710C
㷀	2-79-80	第4水準	U+3DC0	0x3DC0
焯	2-79-81	第4水準	U+712F	0x712F
焱	2-79-82	第4水準	U+7131	0x7131
煐	2-79-83	第4水準	U+7150	0x7150
煊	2-79-84	第4水準	U+714A	0x714A
煓	2-79-85	第4水準	U+7153	0x7153
煞	2-79-86	第4水準	U+715E	0x715E
㷔	2-79-87	第4水準	U+3DD4	0x3DD4
熖	2-79-88	第4水準	U+7196	0x7196
熀	2-79-89	第4水準	U+7180	0x7180
熛	2-79-90	第4水準	U+719B	0x719B
熠	2-79-91	第4水準	U+71A0	0x71A0
熢	2-79-92	第4水準	U+71A2	0x71A2
熮	2-79-93	第4水準	U+71AE	0x71AE
熯	2-79-94	第4水準	U+71AF	0x71AF
熳	2-80-01	第4水準	U+71B3	0x71B3
𤎼	2-80-02	第4水準	U+243BC	0xD850 0xDFBC
燋	2-80-03	第4水準	U+71CB	0x71CB
燓	2-80-04	第4水準	U+71D3	0x71D3
燙	2-80-05	第4水準	U+71D9	0x71D9
燜	2-80-06	第4水準	U+71DC	0x71DC
爇	2-80-07	第4水準	U+7207	0x7207
㸅	2-80-08	第4水準	U+3E05	0x3E05
爫	2-80-09	第4水準	U+FA49	0xFA49
爫	2-80-10	第4水準	U+722B	0x722B
爴	2-80-11	第4水準	U+7234	0x7234
爸	2-80-12	第4水準	U+7238	0x7238
爹	2-80-13	第4水準	U+7239	0x7239
丬	2-80-14	第4水準	U+4E2C	0x4E2C
牂	2-80-15	第4水準	U+7242	0x7242
牓	2-80-16	第4水準	U+7253	0x7253
牗	2-80-17	第4水準	U+7257	0x7257
牣	2-80-18	第4水準	U+7263	0x7263
𤘩	2-80-19	第4水準	U+24629	0xD851 0xDE29
牮	2-80-20	第4水準	U+726E	0x726E
牯	2-80-21	第4水準	U+726F	0x726F
牸	2-80-22	第4水準	U+7278	0x7278
牿	2-80-23	第4水準	U+727F	0x727F
犎	2-80-24	第4水準	U+728E	0x728E
𤚥	2-80-25	第4水準	U+246A5	0xD851 0xDEA5
犭	2-80-26	第4水準	U+72AD	0x72AD
犮	2-80-27	第4水準	U+72AE	0x72AE
犰	2-80-28	第4水準	U+72B0	0x72B0
犱	2-80-29	第4水準	U+72B1	0x72B1
狁	2-80-30	第4水準	U+72C1	0x72C1
㹠	2-80-31	第4水準	U+3E60	0x3E60
狌	2-80-32	第4水準	U+72CC	0x72CC
㹦	2-80-33	第4水準	U+3E66	0x3E66
㹨	2-80-34	第4水準	U+3E68	0x3E68
狳	2-80-35	第4水準	U+72F3	0x72F3
狺	2-80-36	第4水準	U+72FA	0x72FA
猇	2-80-37	第4水準	U+7307	0x7307
猒	2-80-38	第4水準	U+7312	0x7312
猘	2-80-39	第4水準	U+7318	0x7318
猙	2-80-40	第4水準	U+7319	0x7319
㺃	2-80-41	第4水準	U+3E83	0x3E83
猹	2-80-42	第4水準	U+7339	0x7339
猬	2-80-43	第4水準	U+732C	0x732C
猱	2-80-44	第4水準	U+7331	0x7331
猳	2-80-45	第4水準	U+7333	0x7333
猽	2-80-46	第4水準	U+733D	0x733D
獒	2-80-47	第4水準	U+7352	0x7352
㺔	2-80-48	第4水準	U+3E94	0x3E94
獫	2-80-49	第4水準	U+736B	0x736B
獬	2-80-50	第4水準	U+736C	0x736C
𤢖	2-80-51	第4水準	U+24896	0xD852 0xDC96
獮	2-80-52	第4水準	U+736E	0x736E
獯	2-80-53	第4水準	U+736F	0x736F
獱	2-80-54	第4水準	U+7371	0x7371
獷	2-80-55	第4水準	U+7377	0x7377
玁	2-80-56	第4水準	U+7381	0x7381
玅	2-80-57	第4水準	U+7385	0x7385
玊	2-80-58	第4水準	U+738A	0x738A
玔	2-80-59	第4水準	U+7394	0x7394
玘	2-80-60	第4水準	U+7398	0x7398
玜	2-80-61	第4水準	U+739C	0x739C
玞	2-80-62	第4水準	U+739E	0x739E
玥	2-80-63	第4水準	U+73A5	0x73A5
玨	2-80-64	第4水準	U+73A8	0x73A8
玵	2-80-65	第4水準	U+73B5	0x73B5
玷	2-80-66	第4水準	U+73B7	0x73B7
玹	2-80-67	第4水準	U+73B9	0x73B9
玼	2-80-68	第4水準	U+73BC	0x73BC
玿	2-80-69	第4水準	U+73BF	0x73BF
珅	2-80-70	第4水準	U+73C5	0x73C5
珋	2-80-71	第4水準	U+73CB	0x73CB
珡	2-80-72	第4水準	U+73E1	0x73E1
珧	2-80-73	第4水準	U+73E7	0x73E7
珹	2-80-74	第4水準	U+73F9	0x73F9
琓	2-80-75	第4水準	U+7413	0x7413
珺	2-80-76	第4水準	U+73FA	0x73FA
琁	2-80-77	第4水準	U+7401	0x7401
琤	2-80-78	第4水準	U+7424	0x7424
琱	2-80-79	第4水準	U+7431	0x7431
琹	2-80-80	第4水準	U+7439	0x7439
瑓	2-80-81	第4水準	U+7453	0x7453
瑀	2-80-82	第4水準	U+7440	0x7440
瑃	2-80-83	第4水準	U+7443	0x7443
瑍	2-80-84	第4水準	U+744D	0x744D
瑒	2-80-85	第4水準	U+7452	0x7452
瑝	2-80-86	第4水準	U+745D	0x745D
瑱	2-80-87	第4水準	U+7471	0x7471
璁	2-80-88	第4水準	U+7481	0x7481
璅	2-80-89	第4水準	U+7485	0x7485
璈	2-80-90	第4水準	U+7488	0x7488
𤩍	2-80-91	第4水準	U+24A4D	0xD852 0xDE4D
璒	2-80-92	第4水準	U+7492	0x7492
璗	2-80-93	第4水準	U+7497	0x7497
璙	2-80-94	第4水準	U+7499	0x7499
璠	2-81-01	第4水準	U+74A0	0x74A0
璡	2-81-02	第4水準	U+74A1	0x74A1
璥	2-81-03	第4水準	U+74A5	0x74A5
璪	2-81-04	第4水準	U+74AA	0x74AA
璫	2-81-05	第4水準	U+74AB	0x74AB
璹	2-81-06	第4水準	U+74B9	0x74B9
璻	2-81-07	第4水準	U+74BB	0x74BB
璺	2-81-08	第4水準	U+74BA	0x74BA
瓖	2-81-09	第4水準	U+74D6	0x74D6
瓘	2-81-10	第4水準	U+74D8	0x74D8
瓞	2-81-11	第4水準	U+74DE	0x74DE
瓯	2-81-12	第4水準	U+74EF	0x74EF
瓫	2-81-13	第4水準	U+74EB	0x74EB
𤭖	2-81-14	第4水準	U+24B56	0xD852 0xDF56
瓺	2-81-15	第4水準	U+74FA	0x74FA
𤭯	2-81-16	第4水準	U+24B6F	0xD852 0xDF6F
甠	2-81-17	第4水準	U+7520	0x7520
甤	2-81-18	第4水準	U+7524	0x7524
甪	2-81-19	第4水準	U+752A	0x752A
㽗	2-81-20	第4水準	U+3F57	0x3F57
𤰖	2-81-21	第4水準	U+24C16	0xD853 0xDC16
甽	2-81-22	第4水準	U+753D	0x753D
甾	2-81-23	第4水準	U+753E	0x753E
畀	2-81-24	第4水準	U+7540	0x7540
畈	2-81-25	第4水準	U+7548	0x7548
畎	2-81-26	第4水準	U+754E	0x754E
畐	2-81-27	第4水準	U+7550	0x7550
畒	2-81-28	第4水準	U+7552	0x7552
畬	2-81-29	第4水準	U+756C	0x756C
畲	2-81-30	第4水準	U+7572	0x7572
畱	2-81-31	第4水準	U+7571	0x7571
畺	2-81-32	第4水準	U+757A	0x757A
畽	2-81-33	第4水準	U+757D	0x757D
畾	2-81-34	第4水準	U+757E	0x757E
疁	2-81-35	第4水準	U+7581	0x7581
𤴔	2-81-36	第4水準	U+24D14	0xD853 0xDD14
疌	2-81-37	第4水準	U+758C	0x758C
㽵	2-81-38	第4水準	U+3F75	0x3F75
疢	2-81-39	第4水準	U+75A2	0x75A2
㽷	2-81-40	第4水準	U+3F77	0x3F77
疰	2-81-41	第4水準	U+75B0	0x75B0
疷	2-81-42	第4水準	U+75B7	0x75B7
疿	2-81-43	第4水準	U+75BF	0x75BF
痀	2-81-44	第4水準	U+75C0	0x75C0
痆	2-81-45	第4水準	U+75C6	0x75C6
痏	2-81-46	第4水準	U+75CF	0x75CF
痓	2-81-47	第4水準	U+75D3	0x75D3
痝	2-81-48	第4水準	U+75DD	0x75DD
痟	2-81-49	第4水準	U+75DF	0x75DF
痠	2-81-50	第4水準	U+75E0	0x75E0
痧	2-81-51	第4水準	U+75E7	0x75E7
痬	2-81-52	第4水準	U+75EC	0x75EC
痮	2-81-53	第4水準	U+75EE	0x75EE
痱	2-81-54	第4水準	U+75F1	0x75F1
痹	2-81-55	第4水準	U+75F9	0x75F9
瘃	2-81-56	第4水準	U+7603	0x7603
瘘	2-81-57	第4水準	U+7618	0x7618
瘇	2-81-58	第4水準	U+7607	0x7607
瘏	2-81-59	第4水準	U+760F	0x760F
㾮	2-81-60	第4水準	U+3FAE	0x3FAE
𤸎	2-81-61	第4水準	U+24E0E	0xD853 0xDE0E
瘓	2-81-62	第4水準	U+7613	0x7613
瘛	2-81-63	第4水準	U+761B	0x761B
瘜	2-81-64	第4水準	U+761C	0x761C
𤸷	2-81-65	第4水準	U+24E37	0xD853 0xDE37
瘥	2-81-66	第4水準	U+7625	0x7625
瘨	2-81-67	第4水準	U+7628	0x7628
瘼	2-81-68	第4水準	U+763C	0x763C
瘳	2-81-69	第4水準	U+7633	0x7633
𤹪	2-81-70	第4水準	U+24E6A	0xD853 0xDE6A
㿉	2-81-71	第4水準	U+3FC9	0x3FC9
癁	2-81-72	第4水準	U+7641	0x7641
𤺋	2-81-73	第4水準	U+24E8B	0xD853 0xDE8B
癉	2-81-74	第4水準	U+7649	0x7649
癕	2-81-75	第4水準	U+7655	0x7655
㿗	2-81-76	第4水準	U+3FD7	0x3FD7
癮	2-81-77	第4水準	U+766E	0x766E
皕	2-81-78	第4水準	U+7695	0x7695
皜	2-81-79	第4水準	U+769C	0x769C
皡	2-81-80	第4水準	U+76A1	0x76A1
皠	2-81-81	第4水準	U+76A0	0x76A0
皧	2-81-82	第4水準	U+76A7	0x76A7
皨	2-81-83	第4水準	U+76A8	0x76A8
皯	2-81-84	第4水準	U+76AF	0x76AF
𥁊	2-81-85	第4水準	U+2504A	0xD854 0xDC4A
盉	2-81-86	第4水準	U+76C9	0x76C9
𥁕	2-81-87	第4水準	U+25055	0xD854 0xDC55
盨	2-81-88	第4水準	U+76E8	0x76E8
盬	2-81-89	第4水準	U+76EC	0x76EC
𥄢	2-81-90	第4水準	U+25122	0xD854 0xDD22
眗	2-81-91	第4水準	U+7717	0x7717
眚	2-81-92	第4水準	U+771A	0x771A
眭	2-81-93	第4水準	U+772D	0x772D
眵	2-81-94	第4水準	U+7735	0x7735
𥆩	2-82-01	第4水準	U+251A9	0xD854 0xDDA9
䀹	2-82-02	第4水準	U+4039	0x4039
𥇥	2-82-03	第4水準	U+251E5	0xD854 0xDDE5
𥇍	2-82-04	第4水準	U+251CD	0xD854 0xDDCD
睘	2-82-05	第4水準	U+7758	0x7758
睠	2-82-06	第4水準	U+7760	0x7760
睪	2-82-07	第4水準	U+776A	0x776A
𥈞	2-82-08	第4水準	U+2521E	0xD854 0xDE1E
睲	2-82-09	第4水準	U+7772	0x7772
睼	2-82-10	第4水準	U+777C	0x777C
睽	2-82-11	第4水準	U+777D	0x777D
𥉌	2-82-12	第4水準	U+2524C	0xD854 0xDE4C
䁘	2-82-13	第4水準	U+4058	0x4058
瞚	2-82-14	第4水準	U+779A	0x779A
瞟	2-82-15	第4水準	U+779F	0x779F
瞢	2-82-16	第4水準	U+77A2	0x77A2
